2026-03-06 11:48:16 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: XRP Up cid=0xa864925b45 price=0.505 prob=58.4% edge=7.7¢ mom=0.938 trend=0.75 vol=0.0009 size=9.8 type=GTC  q=XRP Up or Down - March 6, 11:55AM-12:00PM ET
2026-03-06 11:48:16 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: XRP Up cid=0x655c539f87 price=0.505 prob=58.4% edge=7.7¢ mom=0.938 trend=0.75 vol=0.0009 size=9.8 type=GTC  q=XRP Up or Down - March 6, 12:15PM-12:20PM ET
2026-03-06 11:48:16 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: BTC Up cid=0x075b9a8228 price=0.505 prob=54.9% edge=4.1¢ mom=0.814 trend=0.50 vol=0.0019 size=9.8 type=GTC  q=Bitcoin Up or Down - March 6, 12:15PM-12:20PM ET
2026-03-06 11:48:16 | INFO     | polymarket_bot.orchestrator | Found 4 total signals across all strategies
2026-03-06 11:48:16 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0xf704269b8b tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:16 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0xa864925b45 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:16 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x655c539f87 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:16 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x075b9a8228 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:16 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:16 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:16 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:16 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:16 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:16 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:16 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:16 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:16 | INFO     | __main__ | Iteration 14382: processed 4 signals
2026-03-06 11:48:25 | INFO     | polymarket_bot.orchestrator | 🕐 Resolution window [2d]: 477 → 0 markets
2026-03-06 11:48:26 | INFO     | polymarket_bot.scanner | 🔍 Short-duration scan: 50 markets found — unknown=50
2026-03-06 11:48:26 | INFO     | polymarket_bot.orchestrator | 📡 Short-duration: added 50 markets to universe (50 total in scan, 0 already present)
2026-03-06 11:48:28 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: SOL Up cid=0x2e6f5285c3 price=0.495 prob=54.6% edge=4.8¢ mom=0.764 trend=0.50 vol=0.0014 size=10.1 type=GTC  q=Solana Up or Down - March 6, 11:45AM-11:50AM ET
2026-03-06 11:48:28 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: ETH Up cid=0x553e1a9925 price=0.495 prob=54.5% edge=4.7¢ mom=0.743 trend=0.50 vol=0.0027 size=10.1 type=GTC  q=Ethereum Up or Down - March 6, 11:50AM-11:55AM ET
2026-03-06 11:48:28 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: SOL Up cid=0x74713d4d76 price=0.495 prob=54.6% edge=4.8¢ mom=0.764 trend=0.50 vol=0.0014 size=10.1 type=GTC  q=Solana Up or Down - March 6, 11:50AM-11:55AM ET
2026-03-06 11:48:28 | INFO     | polymarket_bot.strategies.short_duration_strategy | ⚡ SHORT-DUR: SOL Up cid=0xc4cbfe23b7 price=0.505 prob=54.6% edge=3.8¢ mom=0.764 trend=0.50 vol=0.0014 size=9.8 type=GTC  q=Solana Up or Down - March 6, 11:55AM-12:00PM ET
2026-03-06 11:48:28 | INFO     | polymarket_bot.orchestrator | Found 4 total signals across all strategies
2026-03-06 11:48:28 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x2e6f5285c3 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:28 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x74713d4d76 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:28 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0x553e1a9925 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:28 | INFO     | polymarket_bot.orchestrator | 📐 Sized 0xc4cbfe23b7 tier 1/3: $5.00 → $1.99 (25%)
2026-03-06 11:48:28 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:28 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:28 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:28 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:28 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:28 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:28 | WARNING  | polymarket_bot.unified_executor | 🔴 Circuit breaker TRIPPED — blocking trade
2026-03-06 11:48:28 | WARNING  | __main__ | ❌ Signal execution failed: circuit_breaker_tripped
2026-03-06 11:48:28 | INFO     | __main__ | ======================================================================
2026-03-06 11:48:28 | INFO     | __main__ | ⏱️  UPTIME: 2399.0 minutes
2026-03-06 11:48:28 | INFO     | __main__ | 📊 SIGNALS: seen=56591 executed=180
2026-03-06 11:48:28 | INFO     | __main__ | 📈 EXECUTIONS: total=54012 success=180 failed=0
2026-03-06 11:48:28 | INFO     | __main__ | 🎯 STRATEGIES: 5 enabled
2026-03-06 11:48:28 | INFO     | __main__ | ⚡ SHORT-DURATION: 50 markets — unknown=50
2026-03-06 11:48:28 | INFO     | __main__ | 💼 WALLET: equity=$11.78 start=$40.00 adj=$0.00 size_mult=x1.00 dyn_max=$8.00
2026-03-06 11:48:28 | INFO     | __main__ | ⚙️  EXECUTION PROFILE: aggressive_maker
2026-03-06 11:48:28 | INFO     | __main__ | 🛡️  HEDGING: events=0 forced=0
2026-03-06 11:48:28 | INFO     | __main__ | 🧾 OPEN MAKER (paper): gtc_total=1
2026-03-06 11:48:28 | INFO     | __main__ |    Top open GTC by condition: 0xb4a0b846…:1
2026-03-06 11:48:28 | INFO     | __main__ | 🏦 Top inventory by condition (cost): 0xfe09259f…:$1.99, 0xdd5ab6d0…:$1.99, 0x69bd84ce…:$1.99
2026-03-06 11:48:28 | INFO     | __main__ | ──────────────────────────────────────────────────────────────────────
2026-03-06 11:48:28 | INFO     | __main__ | 💼 PORTFOLIO:
2026-03-06 11:48:28 | INFO     | __main__ |    Open Positions: 5
2026-03-06 11:48:28 | INFO     | __main__ |    Closed Positions: 169
2026-03-06 11:48:28 | INFO     | __main__ |    Redeemable: 0
2026-03-06 11:48:28 | INFO     | __main__ |    Cost Basis: $9.95
2026-03-06 11:48:28 | INFO     | __main__ | ──────────────────────────────────────────────────────────────────────
2026-03-06 11:48:28 | INFO     | __main__ | 💰 PROFITABILITY:
2026-03-06 11:48:28 | INFO     | __main__ |      Wallet: $11.78  (started $40.00)
2026-03-06 11:48:28 | INFO     | __main__ |      Realized P&L: $-28.2244
2026-03-06 11:48:28 | INFO     | __main__ |      Unrealized P&L: $0.0999
2026-03-06 11:48:28 | INFO     | __main__ |      Total P&L: $-28.1245
2026-03-06 11:48:28 | INFO     | __main__ |      Open Cost Basis: $9.95
2026-03-06 11:48:28 | INFO     | __main__ |      Realized ROI: -283.67%
2026-03-06 11:48:28 | INFO     | __main__ |    Closed: 169 positions
2026-03-06 11:48:28 | INFO     | __main__ |    Redeemed: 0 positions
2026-03-06 11:48:28 | INFO     | __main__ |    Total Realized: $-28.2244
2026-03-06 11:48:28 | INFO     | __main__ | ──────────────────────────────────────────────────────────────────────
